poemId,allTopics,allProbabilities,topics,topicWords,topicProbabilities
82,"0,1,2,3","0.6623,0.3138,0.0120,0.0120","0,1,2,3","""客, 寒, 微雨, 思, 歸, 無限, 異地, 簾, 落葉, 風霜""，""夢鄉, 嫩黃, 爐香, 秋, 蘆, 野菊""，""山水, 瀟瀟, 翻新""，""生, 苔""","0.66,0.31,0.01,0.01"
83,"0,1,2,3","0.9476,0.0175,0.0172,0.0178","3,0,2,1","""天, 新, 香""，""客, 庭院, 晚節, 有待, 梢頭, 獨, 風""，""蕭條""，""光, 廣寒, 秋""","0.95,0.02,0.02,0.02"
84,"0,1,2,3","0.9653,0.0114,0.0116,0.0116","0,1,3,2","""不堪, 冷, 孤雁, 客, 思, 愁雲, 殘葉, 羅衣, 花""，""秋, 藹藹""，""剩, 四野, 山, 林, 漠漠, 蓬, 雨""，""寒蛩, 淒楚, 濛濛, 瀟瀟""","0.97,0.01,0.01,0.01"
85,"0,1,2,3","0.0127,0.0127,0.0123,0.9623","1,0,3,2","""兩岸, 孤邨, 明月, 江, 秋氣""，""夜, 寒, 山川, 幾多""，""人, 天, 影, 新, 漁艇, 火, 竹, 船, 風聲, 颯颯""，""峯巒""","0.01,0.01,0.01,0.96"
86,"0,1,2,3","0.0156,0.0156,0.1573,0.8115","3,1,2,0","""山, 微風, 晴, 水, 煙波, 雨, 雲""，""光, 天際, 江""，""來往, 妝, 氤氳, 錦繡""，""扁舟, 飛鳥""","0.02,0.02,0.16,0.81"
87,"0,1,2,3","0.0154,0.0164,0.0155,0.9527","3,0,1,2","""三峽, 山, 收拾, 斜陽, 水, 江頭, 湖, 滄浪, 煙波, 鳥""，""扁舟, 歸去""，""秋, 蘆花, 野鷗""，""楓樹""","0.02,0.02,0.02,0.95"
88,"0,1,2,3","0.2967,0.0175,0.0174,0.6684","1,0,2,3","""人情, 淒淒""，""夢, 寒, 悲, 淚, 長空, 音""，""蕭颯""，""悠揚, 枝頭, 蟬, 蟲, 雲""","0.30,0.02,0.02,0.67"
89,"0,1,2,3","0.0156,0.9529,0.0153,0.0162","1,2,3,0","""古樹, 山麓, 旗, 板橋, 無邊, 煙景, 花徑, 蒼蒼, 長天""，""飄渺""，""暮, 水, 雲""，""夕陽, 家, 茅屋""","0.02,0.95,0.02,0.02"
90,"0,1,2,3","0.4757,0.4892,0.0172,0.0179","0,3,1","""寒, 心, 悲, 愁, 風""，""天, 暮, 當時""，""急, 旅夢, 白帝城, 秋, 萬古, 遙思""","0.48,0.49,0.02"
91,"0,1,2,3","0.0135,0.0137,0.0129,0.9599","0,1,3","""夜, 家, 寒, 歸""，""兩岸, 天天, 日暮, 柴門, 漁""，""人, 影, 樹, 水, 輕舟, 雲, 鳥""","0.01,0.01,0.96"
92,"0,1,2,3","0.6070,0.3636,0.0146,0.0148","1,0,3,2","""二百, 帝業, 海門, 王氣, 荒涼, 馬""，""故宮, 歸, 浩浩, 秋風, 舊, 蕭索""，""蓬, 長江, 雄""，""夕照, 天關""","0.61,0.36,0.01,0.01"
